,Strand,Sub-strand,"Specific Learning
Outcomes",Suggested Learning Experiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
18,"1.0
Numbers","1.5 Subtraction
(20 lessons)","subtract up to 3-digit numbers
involving missing numbers with
single regrouping,"," Learners to work out subtraction
of up to 3-digit numbers without
regrouping in real life situations.
 Learners to work out missing
numbers in subtraction of up to 3-
digit numbers with single
regrouping using a variety of
strategies such as number families.
 Learners to play digital games
involving subtraction.
 Learners to discuss how to work out
missing numbers in patterns
involving subtraction up to 1000.","1)When do you regroup
during subtraction?
2)How do you identify
the missing number in a
number pattern"," Correctly: subtracts up to
3-digit numbers without
regrouping, subtracts up
to 3-digit numbers
involving missing
numbers with single
regrouping, works out
missing numbers in
patterns up to 1000 with
ease."," Correctly: subtracts up
to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping, works
out missing numbers in
patterns up to 1000."," Inconsistently: subtracts
up to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping,
works out missing
numbers in patterns up
to 1000."," Major inaccuracies in:
subtracting up to 3-digit
numbers without
regrouping, subtracting
up to 3-digit numbers
involving missing
numbers with single
regrouping, working out
missing numbers in
patterns up to 1000.",three
19,"1.0
Numbers","1.5 Subtraction
(20 lessons)","work out missing numbers in
number patterns involving
subtraction up to 1000."," Learners to work out subtraction
of up to 3-digit numbers without
regrouping in real life situations.
 Learners to work out missing
numbers in subtraction of up to 3-
digit numbers with single
regrouping using a variety of
strategies such as number families.
 Learners to play digital games
involving subtraction.
 Learners to discuss how to work out
missing numbers in patterns
involving subtraction up to 1000.","1)When do you regroup
during subtraction?
2)How do you identify
the missing number in a
number pattern"," Correctly: subtracts up to
3-digit numbers without
regrouping, subtracts up
to 3-digit numbers
involving missing
numbers with single
regrouping, works out
missing numbers in
patterns up to 1000 with
ease."," Correctly: subtracts up
to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping, works
out missing numbers in
patterns up to 1000."," Inconsistently: subtracts
up to 3-digit numbers
without regrouping,
subtracts up to 3-digit
numbers involving
missing numbers with
single regrouping,
works out missing
numbers in patterns up
to 1000."," Major inaccuracies in:
subtracting up to 3-digit
numbers without
regrouping, subtracting
up to 3-digit numbers
involving missing
numbers with single
regrouping, working out
missing numbers in
patterns up to 1000.",three
20,1.0 Numbers,"1.6
Multiplication
(10 lessons)",multiply single digit numbers by numbers 1-10 in different contexts.," Learners in pairs/groups to
multiply single digit
numbers by numbers1-10
using:
 -groups of objects
 -repeated addition
 -multiplication table.
 Learners to play digital
games involving
multiplication.","1)How can you work
out multiplication
using repeated
addition?
2)How can we get the
answer to a
multiplication question
using the
multiplication table?"," Correctly multiplies
single digit numbers by
numbers 1-10 and
beyond."," Correctly multiplies
single digit numbers by
numbers 1-10."," Inconsistently multiplies
single digit numbers by
numbers 1-10."," Major inaccuracies in
multiplying single digit
numbers by numbers 1-
10.",three
21,"1.0
Numbers","1.7 Division
(8 lessons)",represent division as repeated subtraction up to 5 times," Learners to take away from a group a
specific number of objects at a time
until all are finished and then count
the number of small groups formed.
 Learners to represent division as
repeated subtraction up to 5
times.
 Learners to discuss the relationship
between division and multiplication
using the multiplication table.
 Learners in pairs/ groups to
practice how to divide numbers
related to multiplication of up to
 9 × 10 = 90.
 Learners to play digital games","1)How can we divide
numbers using
subtraction?
2)How can we use
the multiplication
table to work out
division questions?"," Correctly represents
division as repeated
subtraction up to more
than 5 times and relates
division to
multiplication up to 9
x10 = 90."," Correctly represents
division as repeated
subtraction up to 5 times
and relates division to
multiplication up to
9x10= 90."," Inconsistently:
represents division as
repeated subtraction up
to 5 times, relates
division to
multiplication up to 9
x10 = 90."," Major inaccuracies in:
representing division as
repeated subtraction up
to 5 times and in
relating division to
multiplication up to 9
x10 = 90.",three
22,"1.0
Numbers","1.7 Division
(8 lessons)",show relationship between multiplication and division using mathematical sentences up to 9×10 = 90.," Learners to take away from a group a
specific number of objects at a time
until all are finished and then count
the number of small groups formed.
 Learners to represent division as
repeated subtraction up to 5
times.
 Learners to discuss the relationship
between division and multiplication
using the multiplication table.
 Learners in pairs/ groups to
practice how to divide numbers
related to multiplication of up to
 9 × 10 = 90.
 Learners to play digital games","1)How can we divide
numbers using
subtraction?
2)How can we use
the multiplication
table to work out
division questions?"," Correctly represents
division as repeated
subtraction up to more
than 5 times and relates
division to
multiplication up to 9
x10 = 90."," Correctly represents
division as repeated
subtraction up to 5 times
and relates division to
multiplication up to
9x10= 90."," Inconsistently:
represents division as
repeated subtraction up
to 5 times, relates
division to
multiplication up to 9
x10 = 90."," Major inaccuracies in:
representing division as
repeated subtraction up
to 5 times and in
relating division to
multiplication up to 9
x10 = 90.",three
23,"2.0
Measurement","2.1 Length
(6 lessons)",measure length in metres," Learners in pairs/groups to use metre sticks to
measure various distances and record their results.
 Learners to prepare 5 metres long strings with
knots at intervals of one metre to measure long
distances.
 Learners in groups to measure the lengths of the
4 walls in their classroom and add the lengths.
 Learners to measure the length of the chalkboard
and the wall it is fixed and work out the difference
in length.
 Learners to work out questions involving addition
and subtraction of length in metres based on real life
situations.
 Learners in pairs/groups to estimate distances around
the school up to 20 metres and measure to confirm.
 Learners to take videos of others measuring
length then playback and discuss.","1)How do you
measure the
chalkboard using a
metre stick?
2)How do you get
the total length in
metres of the 4
classroom walls?
3)How do you
measure the distance
between the flag post
and the staffroom
using a 5 metres long
string?"," Correctly: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres and beyond."," Correctly measures length
in metres, adds length in
metres, subtracts length in
metres and estimates
length up to 20 metres."," Inconsistently: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres."," Major inaccuracies in:
measuring length in
metres, adding length in
metres, subtracting length
in metres and estimating
length up to 20 metres.",three
24,"2.0
Measurement","2.1 Length
(6 lessons)",add and subtract length in metres," Learners in pairs/groups to use metre sticks to
measure various distances and record their results.
 Learners to prepare 5 metres long strings with
knots at intervals of one metre to measure long
distances.
 Learners in groups to measure the lengths of the
4 walls in their classroom and add the lengths.
 Learners to measure the length of the chalkboard
and the wall it is fixed and work out the difference
in length.
 Learners to work out questions involving addition
and subtraction of length in metres based on real life
situations.
 Learners in pairs/groups to estimate distances around
the school up to 20 metres and measure to confirm.
 Learners to take videos of others measuring
length then playback and discuss.","1)How do you
measure the
chalkboard using a
metre stick?
2)How do you get
the total length in
metres of the 4
classroom walls?
3)How do you
measure the distance
between the flag post
and the staffroom
using a 5 metres long
string?"," Correctly: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres and beyond."," Correctly measures length
in metres, adds length in
metres, subtracts length in
metres and estimates
length up to 20 metres."," Inconsistently: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres."," Major inaccuracies in:
measuring length in
metres, adding length in
metres, subtracting length
in metres and estimating
length up to 20 metres.",three
25,"2.0
Measurement","2.1 Length
(6 lessons)",estimate length up to 20 metres.," Learners in pairs/groups to use metre sticks to
measure various distances and record their results.
 Learners to prepare 5 metres long strings with
knots at intervals of one metre to measure long
distances.
 Learners in groups to measure the lengths of the
4 walls in their classroom and add the lengths.
 Learners to measure the length of the chalkboard
and the wall it is fixed and work out the difference
in length.
 Learners to work out questions involving addition
and subtraction of length in metres based on real life
situations.
 Learners in pairs/groups to estimate distances around
the school up to 20 metres and measure to confirm.
 Learners to take videos of others measuring
length then playback and discuss.","1)How do you
measure the
chalkboard using a
metre stick?
2)How do you get
the total length in
metres of the 4
classroom walls?
3)How do you
measure the distance
between the flag post
and the staffroom
using a 5 metres long
string?"," Correctly: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres and beyond."," Correctly measures length
in metres, adds length in
metres, subtracts length in
metres and estimates
length up to 20 metres."," Inconsistently: measures
length in metres, adds
length in metres, subtracts
length in metres and
estimates length up to 20
metres."," Major inaccuracies in:
measuring length in
metres, adding length in
metres, subtracting length
in metres and estimating
length up to 20 metres.",three
26,"2.0
Measurement","2.2 Mass
(6 lessons)","measure mass in kilograms,"," Learners to measure mass in kilograms using
a beam balance.
 Learners to make masses of 1kg using sand/
soil by measuring against the kilogram
standard unit.
 Learners to add and subtract mass in
kilograms in real life situations.
 Learners to use a 5kg mass to compare
other masses.
 Learners to estimate mass up to 5kg and
measure to confirm.
 Learners to play digital games involving
mass.","How can you make a
1kg mass using a beam
balance?"," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg and
beyond."," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg."," Inconsistently: measures
mass in kilograms adds
and subtracts mass in
kilograms and estimates
mass up to 5kg."," Major inaccuracies in:
measuring mass in
kilograms, adding and
subtracting mass in
kilograms and estimating
mass up to 5kg..",three
27,"2.0
Measurement","2.2 Mass
(6 lessons)","add and subtract mass in
kilograms,"," Learners to measure mass in kilograms using
a beam balance.
 Learners to make masses of 1kg using sand/
soil by measuring against the kilogram
standard unit.
 Learners to add and subtract mass in
kilograms in real life situations.
 Learners to use a 5kg mass to compare
other masses.
 Learners to estimate mass up to 5kg and
measure to confirm.
 Learners to play digital games involving
mass.","How can you make a
1kg mass using a beam
balance?"," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg and
beyond."," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg."," Inconsistently: measures
mass in kilograms adds
and subtracts mass in
kilograms and estimates
mass up to 5kg."," Major inaccuracies in:
measuring mass in
kilograms, adding and
subtracting mass in
kilograms and estimating
mass up to 5kg..",three
28,"2.0
Measurement","2.2 Mass
(6 lessons)","estimate mass up to 5
kilograms."," Learners to measure mass in kilograms using
a beam balance.
 Learners to make masses of 1kg using sand/
soil by measuring against the kilogram
standard unit.
 Learners to add and subtract mass in
kilograms in real life situations.
 Learners to use a 5kg mass to compare
other masses.
 Learners to estimate mass up to 5kg and
measure to confirm.
 Learners to play digital games involving
mass.","How can you make a
1kg mass using a beam
balance?"," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg and
beyond."," Correctly: measures mass
in kilograms adds and
subtracts mass in
kilograms and estimates
mass up to 5kg."," Inconsistently: measures
mass in kilograms adds
and subtracts mass in
kilograms and estimates
mass up to 5kg."," Major inaccuracies in:
measuring mass in
kilograms, adding and
subtracting mass in
kilograms and estimating
mass up to 5kg..",three
29,"2.0
Measurement","2.3 Capacity
(8 lessons)","measure capacity in litres,"," Learners in pairs/groups measure capacity of
different containers in litres.
 Learners to add and subtract capacity in litres
in real life situations.
 Learners to estimate capacity up to 5
litres and measure to confirm.
 Learners play digital games involving
capacity.","What can we use
to measure
capacity?"," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres and beyond."," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Inconsistently: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Major inaccuracies in:
measuring capacity in
litres, adding and
subtracting capacity in
litres in real life
experiences and
estimating capacity up to
5 litres",three
30,"2.0
Measurement","2.3 Capacity
(8 lessons)","add and subtract capacity in
litres,"," Learners in pairs/groups measure capacity of
different containers in litres.
 Learners to add and subtract capacity in litres
in real life situations.
 Learners to estimate capacity up to 5
litres and measure to confirm.
 Learners play digital games involving
capacity.","What can we use
to measure
capacity?"," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres and beyond."," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Inconsistently: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Major inaccuracies in:
measuring capacity in
litres, adding and
subtracting capacity in
litres in real life
experiences and
estimating capacity up to
5 litres",three
31,"2.0
Measurement","2.3 Capacity
(8 lessons)","estimate capacity up to
5 litres."," Learners in pairs/groups measure capacity of
different containers in litres.
 Learners to add and subtract capacity in litres
in real life situations.
 Learners to estimate capacity up to 5
litres and measure to confirm.
 Learners play digital games involving
capacity.","What can we use
to measure
capacity?"," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres and beyond."," Correctly: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Inconsistently: measures
capacity in litres, adds
and subtracts capacity in
litres in real life
experiences and
estimates capacity up to
5 litres"," Major inaccuracies in:
measuring capacity in
litres, adding and
subtracting capacity in
litres in real life
experiences and
estimating capacity up to
5 litres",three
32,"2.0
Measurement","2.4 Time
(10 lessons)","identify the minute as a unit
of measuring time,"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
33,"2.0
Measurement","2.4 Time
(10 lessons)","read and tell time using the
digital clock,"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
34,"2.0
Measurement","2.4 Time
(10 lessons)","read and tell time using ‘past’
and ‘to’ the hour using the clock
face,"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
35,"2.0
Measurement","2.4 Time
(10 lessons)","write time using ‘past’ and ‘to’ the
hour,"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
36,"2.0
Measurement","2.4 Time
(10 lessons)","estimate time in hours,"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
37,"2.0
Measurement","2.4 Time
(10 lessons)","add and subtract time involving
hours and minutes without
conversion in real life"," Learners to discuss the divisions on a clock face
and what each division represents.
 Learners to read time on a digital clock
 Learners in pairs/groups to discuss the
relationship between hours and minutes using a
clock face.
 Learners in pairs/groups to read, tell and write
time using ‘past’ and ‘to’ the hour.
 Learners in pairs/groups to estimate time in
hours.
 Learners in pairs/groups to add and subtract
time involving hours and minutes without
conversion in real life situations.","How do we
convert hours
to minutes","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours and
minutes, adds and subtracts time
involving hours and minutes
without conversion in real life
situations with ease.","Correctly: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Inconsistently: reads, tells, writes
time using ‘past’ and ‘to’ the
hour, estimates time in hours,
adds and subtracts time involving
hours and minutes without
conversion in real life situations.","Major inaccuracies in: reading,
telling, writing time using ‘past’
and ‘to’ the hour, estimating time
in hours, adding and subtracting
time involving hours and minutes
without conversion in real life
situations",three
38,"2.0
Measurement","2.5 Money
(10 lessons)","identify kenyan currency notes up
to sh.1000,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
39,"2.0
Measurement","2.5 Money
(10 lessons)","count money in different denominations
up to sh.1000,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
40,"2.0
Measurement","2.5 Money
(10 lessons)","add and subtract money involving up
to sh.1000,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
41,"2.0
Measurement","2.5 Money
(10 lessons)","carry out shopping activities involving
change and balance,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
42,"2.0
Measurement","2.5 Money
(10 lessons)","relate money to goods and services up
to sh.1000,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
43,"2.0
Measurement","2.5 Money
(10 lessons)","differentiate between needs and wants,"," Learners in pairs/groups to sort out
Kenyan currency notes according to
their value and features up to
sh.1000.
 Learners in pairs/groups to practice
addition and subtraction of money
in real life situations up to sh.1000.
 Learners in pairs/groups to practice
giving change and balance using
imitation money up to sh.1000 in
shopping activities.
 Learners in pairs/groups to share
own experiences in relation to
shopping activities.","What is the difference
between needs and
wants?","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
above sh.1000, relates money to
goods and services, differentiates
needs and wants, explains
meaning of spending and saving","Correctly: identifies
Kenyan currency notes up
to sh.
1000,counts money in different
denominations, adds, subtracts,
carries out shopping activities
within sh.1000, relates money to
goods and services, differentiates
needs and wants, explains meaning
of spending and saving in real life","Inconsistently: identifies Kenyan
currency notes up to sh.1000,counts
money in different denominations,
adds, subtracts, carries out shopping
activities within sh.1000, relates
money to goods and services,
differentiates needs and wants,
explains meaning of spending and
saving in real life situations.","Major inaccuracies in: identifying
Kenya currency notes up to sh.1000,
counting money in different
denominations, adding, subtracting,
carrying out shopping activities within
sh.1000, relating money to goods and
services, differentiating needs and
wants, explaining meaning of
spending and saving in real life
situations.",three
