,Strand,Sub-strand,"Specific Learning
Outcomes",Suggested Learning Experiences,key_inquiry,Exceeds Expectations,Meets Expectations,Approaches Expectations,Below Expectations,grade
10,"1.0
Numbers","1.4 Addition
(20lessons)","add 3-single digit numbers up to a sum
of 20,"," Learners in pairs to write addition sentences given
in horizontal form vertically according to place
value.
 Learners to add a 2-digit number to a 1-digit
number without and with regrouping.
 Learners to practice addition by skipping on
the number line.
 Learners in pairs/groups to collect different safe
objects and use them in addition of 3-single
digit numbers.
 Learners in pairs/groups to practice breaking
numbers apart to make a 10.
 Learners in pairs to come up with different ways
of adding two 2-digit numbers without and with
regrouping.
 Learners to play digital games involving addition.
 Learners in groups to make patterns using numbers
up to 100."," How can we
align a 2-digit
number and a
1- digit number
vertically in
order to add?
 When do we
regroup?","Correctly:addsmorethantwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Correctly:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Inconsistently:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Majorinaccuraciesin:addinguptotwo
2-digitnumberswithsumsnot
exceeding100usingdifferentstrategies,
workingoutmissingnumbersinpatterns
upto100.",two
11,"1.0
Numbers","1.4 Addition
(20lessons)","add a 2-digit number to a 2-digit
number without and with regrouping,
with sum not exceeding 100,"," Learners in pairs to write addition sentences given
in horizontal form vertically according to place
value.
 Learners to add a 2-digit number to a 1-digit
number without and with regrouping.
 Learners to practice addition by skipping on
the number line.
 Learners in pairs/groups to collect different safe
objects and use them in addition of 3-single
digit numbers.
 Learners in pairs/groups to practice breaking
numbers apart to make a 10.
 Learners in pairs to come up with different ways
of adding two 2-digit numbers without and with
regrouping.
 Learners to play digital games involving addition.
 Learners in groups to make patterns using numbers
up to 100."," How can we
align a 2-digit
number and a
1- digit number
vertically in
order to add?
 When do we
regroup?","Correctly:addsmorethantwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Correctly:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Inconsistently:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Majorinaccuraciesin:addinguptotwo
2-digitnumberswithsumsnot
exceeding100usingdifferentstrategies,
workingoutmissingnumbersinpatterns
upto100.",two
12,"1.0
Numbers","1.4 Addition
(20lessons)","workout missing numbers in patterns
involving addition of whole numbers
up to 100."," Learners in pairs to write addition sentences given
in horizontal form vertically according to place
value.
 Learners to add a 2-digit number to a 1-digit
number without and with regrouping.
 Learners to practice addition by skipping on
the number line.
 Learners in pairs/groups to collect different safe
objects and use them in addition of 3-single
digit numbers.
 Learners in pairs/groups to practice breaking
numbers apart to make a 10.
 Learners in pairs to come up with different ways
of adding two 2-digit numbers without and with
regrouping.
 Learners to play digital games involving addition.
 Learners in groups to make patterns using numbers
up to 100."," How can we
align a 2-digit
number and a
1- digit number
vertically in
order to add?
 When do we
regroup?","Correctly:addsmorethantwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Correctly:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Inconsistently:addsuptotwo2-digit
numberswithsumsnotexceeding100
usingdifferentstrategies, worksout
missingnumbersinpatternsupto
100.","Majorinaccuraciesin:addinguptotwo
2-digitnumberswithsumsnot
exceeding100usingdifferentstrategies,
workingoutmissingnumbersinpatterns
upto100.",two
13,"1.0
Numbers","1.5 Subtraction
(20lessons)","subtract up to 2-digit numbers
without regrouping,","Learners in pairs /groups to subtract single
digit numbers by comparing groups of objects.
 Learners to subtract up to 2-digit numbers
without regrouping in horizontal and
vertical forms.
 Learners to discuss the relationship between
addition and subtraction using number
families.
 Learners to work out missing numbers
in subtraction of up to 2-digit numbers.
 Learners to play digital games involving
subtraction.
 Learners to work out missing numbers
in patterns involving subtraction.","How do you work
out missing
numbers in
patterns involving
subtraction?","Correctly: Subtracts up to more than
2-digit numbers without
regrouping,
works out missing numbers in
number patterns up to 100.","Correctly: subtracts up to 2-digit
numbers without regrouping,
works out missing numbers in
number patterns up to 100","Inconsistently: subtracts up to 2-digit
numbers without regrouping, works
out missing numbers in number
patterns up to 100.","Major inaccuracies in: subtracting
up to 2-digit numbers without
regrouping, working out missing
numbers in number patterns up to
100.",two
14,"1.0
Numbers","1.5 Subtraction
(20lessons)","use the relationship between addition
and subtraction in working out
problems,","Learners in pairs /groups to subtract single
digit numbers by comparing groups of objects.
 Learners to subtract up to 2-digit numbers
without regrouping in horizontal and
vertical forms.
 Learners to discuss the relationship between
addition and subtraction using number
families.
 Learners to work out missing numbers
in subtraction of up to 2-digit numbers.
 Learners to play digital games involving
subtraction.
 Learners to work out missing numbers
in patterns involving subtraction.","How do you work
out missing
numbers in
patterns involving
subtraction?","Correctly: Subtracts up to more than
2-digit numbers without
regrouping,
works out missing numbers in
number patterns up to 100.","Correctly: subtracts up to 2-digit
numbers without regrouping,
works out missing numbers in
number patterns up to 100","Inconsistently: subtracts up to 2-digit
numbers without regrouping, works
out missing numbers in number
patterns up to 100.","Major inaccuracies in: subtracting
up to 2-digit numbers without
regrouping, working out missing
numbers in number patterns up to
100.",two
15,"1.0
Numbers","1.5 Subtraction
(20lessons)","work out missing numbers in subtraction
of up to 2-digit numbers,","Learners in pairs /groups to subtract single
digit numbers by comparing groups of objects.
 Learners to subtract up to 2-digit numbers
without regrouping in horizontal and
vertical forms.
 Learners to discuss the relationship between
addition and subtraction using number
families.
 Learners to work out missing numbers
in subtraction of up to 2-digit numbers.
 Learners to play digital games involving
subtraction.
 Learners to work out missing numbers
in patterns involving subtraction.","How do you work
out missing
numbers in
patterns involving
subtraction?","Correctly: Subtracts up to more than
2-digit numbers without
regrouping,
works out missing numbers in
number patterns up to 100.","Correctly: subtracts up to 2-digit
numbers without regrouping,
works out missing numbers in
number patterns up to 100","Inconsistently: subtracts up to 2-digit
numbers without regrouping, works
out missing numbers in number
patterns up to 100.","Major inaccuracies in: subtracting
up to 2-digit numbers without
regrouping, working out missing
numbers in number patterns up to
100.",two
16,"1.0
Numbers","1.5 Subtraction
(20lessons)","work out missing numbers in patterns
involving subtraction up to 100.","Learners in pairs /groups to subtract single
digit numbers by comparing groups of objects.
 Learners to subtract up to 2-digit numbers
without regrouping in horizontal and
vertical forms.
 Learners to discuss the relationship between
addition and subtraction using number
families.
 Learners to work out missing numbers
in subtraction of up to 2-digit numbers.
 Learners to play digital games involving
subtraction.
 Learners to work out missing numbers
in patterns involving subtraction.","How do you work
out missing
numbers in
patterns involving
subtraction?","Correctly: Subtracts up to more than
2-digit numbers without
regrouping,
works out missing numbers in
number patterns up to 100.","Correctly: subtracts up to 2-digit
numbers without regrouping,
works out missing numbers in
number patterns up to 100","Inconsistently: subtracts up to 2-digit
numbers without regrouping, works
out missing numbers in number
patterns up to 100.","Major inaccuracies in: subtracting
up to 2-digit numbers without
regrouping, working out missing
numbers in number patterns up to
100.",two
17,"1.0
Numbers","1.6
Multiplication
(12lessons)","represent multiplication as repeated
addition using numbers 1, 2, 3, 4 and 5 up
to five times,"," Learners in pairs/groups to use counters to
represent multiplication as repeated
addition.
 Learners in pairs/groups to use number lines
to represent multiplication as repeated
addition.
 Learners to use '×' sign in writing
repeated addition sentences as
multiplication.
 Learners to multiply single digit numbers
by 1, 2, 3, 4, 5 and 10.
 Learners to play digital games involving
multiplication.
 Learners could visit the local market to see
how fruits are arranged in groups of 3's,
4's","How do you
represent
multiplication as
repeated addition?","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, multiplies single digit numbers
by 1, 2, 3, 4, 5, and 10 and goes
beyond.","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, and multiplies single digit
numbers by 1, 2, 3, 4, 5 and 10.","Inconsistently: represents
multiplication as repeated addition,
uses multiplication sign, and
multiplies single digit numbers by
1, 2, 3, 4, 5 and 10.","Major inaccuracies in: representing
multiplication as repeated addition,
using multiplication sign,
multiplying single digit numbers by
1, 2, 3, 4, 5
and 10.",two
18,"1.0
Numbers","1.6
Multiplication
(12lessons)","write repeated addition sentences as
multiplication, using '×' sign,"," Learners in pairs/groups to use counters to
represent multiplication as repeated
addition.
 Learners in pairs/groups to use number lines
to represent multiplication as repeated
addition.
 Learners to use '×' sign in writing
repeated addition sentences as
multiplication.
 Learners to multiply single digit numbers
by 1, 2, 3, 4, 5 and 10.
 Learners to play digital games involving
multiplication.
 Learners could visit the local market to see
how fruits are arranged in groups of 3's,
4's","How do you
represent
multiplication as
repeated addition?","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, multiplies single digit numbers
by 1, 2, 3, 4, 5, and 10 and goes
beyond.","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, and multiplies single digit
numbers by 1, 2, 3, 4, 5 and 10.","Inconsistently: represents
multiplication as repeated addition,
uses multiplication sign, and
multiplies single digit numbers by
1, 2, 3, 4, 5 and 10.","Major inaccuracies in: representing
multiplication as repeated addition,
using multiplication sign,
multiplying single digit numbers by
1, 2, 3, 4, 5
and 10.",two
19,"1.0
Numbers","1.6
Multiplication
(12lessons)","multiply single digit numbers by 1, 2, 3, 4,
5 and 10."," Learners in pairs/groups to use counters to
represent multiplication as repeated
addition.
 Learners in pairs/groups to use number lines
to represent multiplication as repeated
addition.
 Learners to use '×' sign in writing
repeated addition sentences as
multiplication.
 Learners to multiply single digit numbers
by 1, 2, 3, 4, 5 and 10.
 Learners to play digital games involving
multiplication.
 Learners could visit the local market to see
how fruits are arranged in groups of 3's,
4's","How do you
represent
multiplication as
repeated addition?","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, multiplies single digit numbers
by 1, 2, 3, 4, 5, and 10 and goes
beyond.","Correctly: represents multiplication as
repeated addition, uses multiplication
sign, and multiplies single digit
numbers by 1, 2, 3, 4, 5 and 10.","Inconsistently: represents
multiplication as repeated addition,
uses multiplication sign, and
multiplies single digit numbers by
1, 2, 3, 4, 5 and 10.","Major inaccuracies in: representing
multiplication as repeated addition,
using multiplication sign,
multiplying single digit numbers by
1, 2, 3, 4, 5
and 10.",two
20,"1.0
Numbers","1.7 Division
(8lessons)","represent division as equal sharing,"," Learners in pairs/groups to share a given
number of objects equally by each picking
one object at a time until all are finished and
then count how many each got.
 Learners in pairs/groups to pick an equal
number of objects at a time from the main
group and count the number of small
equal groups formed.
 Learners to use ‘‚’sign in writing division
sentences.
 Learners to play digital games
involving division.
 Learners to divide numbers up to 25 by 2, 3,
4 and 5 without a remainder.","How can you share
a given number of
objects equally?","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4, and 5 without a
remainder and goes beyond.","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4 and 5 without a
remainder.","Inconsistently: represents division as
equal sharing and equal grouping,
uses division sign, divides numbers
up to 25 by 2, 3, 4 and 5 without a
remainder.","Major inaccuracies in: representing
division as equal sharing and equal
grouping, using division sign,
dividing numbers up to 25 by 2, 3,
4, and 5 without a remainder.",two
21,"1.0
Numbers","1.7 Division
(8lessons)","represent division as equal grouping,"," Learners in pairs/groups to share a given
number of objects equally by each picking
one object at a time until all are finished and
then count how many each got.
 Learners in pairs/groups to pick an equal
number of objects at a time from the main
group and count the number of small
equal groups formed.
 Learners to use ‘‚’sign in writing division
sentences.
 Learners to play digital games
involving division.
 Learners to divide numbers up to 25 by 2, 3,
4 and 5 without a remainder.","How can you share
a given number of
objects equally?","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4, and 5 without a
remainder and goes beyond.","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4 and 5 without a
remainder.","Inconsistently: represents division as
equal sharing and equal grouping,
uses division sign, divides numbers
up to 25 by 2, 3, 4 and 5 without a
remainder.","Major inaccuracies in: representing
division as equal sharing and equal
grouping, using division sign,
dividing numbers up to 25 by 2, 3,
4, and 5 without a remainder.",two
22,"1.0
Numbers","1.7 Division
(8lessons)","use ' ÷ 'sign in writing division sentences,"," Learners in pairs/groups to share a given
number of objects equally by each picking
one object at a time until all are finished and
then count how many each got.
 Learners in pairs/groups to pick an equal
number of objects at a time from the main
group and count the number of small
equal groups formed.
 Learners to use ‘‚’sign in writing division
sentences.
 Learners to play digital games
involving division.
 Learners to divide numbers up to 25 by 2, 3,
4 and 5 without a remainder.","How can you share
a given number of
objects equally?","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4, and 5 without a
remainder and goes beyond.","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4 and 5 without a
remainder.","Inconsistently: represents division as
equal sharing and equal grouping,
uses division sign, divides numbers
up to 25 by 2, 3, 4 and 5 without a
remainder.","Major inaccuracies in: representing
division as equal sharing and equal
grouping, using division sign,
dividing numbers up to 25 by 2, 3,
4, and 5 without a remainder.",two
23,"1.0
Numbers","1.7 Division
(8lessons)","divide numbers up to 25 by 2, 3, 4 and 5
without a remainder in real life
situations."," Learners in pairs/groups to share a given
number of objects equally by each picking
one object at a time until all are finished and
then count how many each got.
 Learners in pairs/groups to pick an equal
number of objects at a time from the main
group and count the number of small
equal groups formed.
 Learners to use ‘‚’sign in writing division
sentences.
 Learners to play digital games
involving division.
 Learners to divide numbers up to 25 by 2, 3,
4 and 5 without a remainder.","How can you share
a given number of
objects equally?","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4, and 5 without a
remainder and goes beyond.","Correctly: represents division as equal
sharing and equal grouping, uses
division sign, divides numbers up to
25 by 2, 3, 4 and 5 without a
remainder.","Inconsistently: represents division as
equal sharing and equal grouping,
uses division sign, divides numbers
up to 25 by 2, 3, 4 and 5 without a
remainder.","Major inaccuracies in: representing
division as equal sharing and equal
grouping, using division sign,
dividing numbers up to 25 by 2, 3,
4, and 5 without a remainder.",two
24,"2.0
Measurement","2.1 Length
(6lessons)","measure length using fixed units,"," Learners in pairs/groups to use sticks of equal
length to measure different lengths, record
and discuss the results.
 Learners in pairs/groups to measure length
using sticks of different lengths, including
1-metre sticks and identify the 1-metre
sticks.
 Learners to make 1-metre sticks and use them in
measuring various lengths within the classroom
, record and discuss the results.
 Learners to play digital games involving
length in metres.","What can you use to
measure different lengths?","Correctly: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres with ease.","Correctly: measures length using
fixed units, identifies the metre as
a unit of measuring length and
measures length in metres.","Inconsistently: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres.","Major inaccuracies in: measuring
length using fixed units, identifying
the metre as a unit of measuring
length and measuring length in
metres",two
25,"2.0
Measurement","2.1 Length
(6lessons)","identify the metre as a unit
of measuring length,"," Learners in pairs/groups to use sticks of equal
length to measure different lengths, record
and discuss the results.
 Learners in pairs/groups to measure length
using sticks of different lengths, including
1-metre sticks and identify the 1-metre
sticks.
 Learners to make 1-metre sticks and use them in
measuring various lengths within the classroom
, record and discuss the results.
 Learners to play digital games involving
length in metres.","What can you use to
measure different lengths?","Correctly: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres with ease.","Correctly: measures length using
fixed units, identifies the metre as
a unit of measuring length and
measures length in metres.","Inconsistently: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres.","Major inaccuracies in: measuring
length using fixed units, identifying
the metre as a unit of measuring
length and measuring length in
metres",two
26,"2.0
Measurement","2.1 Length
(6lessons)",measure length in metres.," Learners in pairs/groups to use sticks of equal
length to measure different lengths, record
and discuss the results.
 Learners in pairs/groups to measure length
using sticks of different lengths, including
1-metre sticks and identify the 1-metre
sticks.
 Learners to make 1-metre sticks and use them in
measuring various lengths within the classroom
, record and discuss the results.
 Learners to play digital games involving
length in metres.","What can you use to
measure different lengths?","Correctly: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres with ease.","Correctly: measures length using
fixed units, identifies the metre as
a unit of measuring length and
measures length in metres.","Inconsistently: measures length using
fixed units, identifies the metre as a
unit of measuring length and
measures length in metres.","Major inaccuracies in: measuring
length using fixed units, identifying
the metre as a unit of measuring
length and measuring length in
metres",two
27,"2.0
Measurement","2.2 Mass
(6lessons)","measure mass using fixed
units,"," Learners in pairs/groups to use items of same
mass and a beam balance to measure different
masses record and discuss the results.
 Learners in pairs/groups to use an item
equivalent to a 1-kilogram mass and a beam
balance to make other 1-kilogram masses and
use them to compare other masses.
 Learner to practice measuring mass in
kilograms using a 1-kilogram mass.
 Learners to play digital games involving mass
in kilograms.","What can we use
to measure mass?","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit measuring mass
with ease.","Correctly: measures mass using fixed
units, identifies and uses the
kilogram as a unit of measuring
mass.","Inconsistently: measures mass using
fixed units, identifies and uses the
kilogram as a unit of measuring
mass","Major inaccuracies in: measuring
mass using fixed units,
identifying and using the
kilogram as a unit measuring
mass.",two
